시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울 종로구,서울 종로구 숭인동(백채김치찌개 신설동점),8,10,0,8,2,0
서울 종로구,서울 종로구 숭인동(낙산보리밥),4,5,1,4,0,0
서울 종로구,서울 종로구 종로5가(종로5가교차로),4,4,1,3,0,0
서울 종로구,서울 종로구 내자동(경복궁역교차로),4,8,0,5,2,1
서울 종로구,서울 종로구 동숭동(하트약국),4,7,0,4,3,0
서울 종로구,서울 종로구 창신동(동묘앞역교차로),4,5,0,4,1,0
서울 중구,서울 중구 황학동(미리내곱창),5,6,0,5,1,0
서울 중구,서울 중구 흥인동(흥인사거리),5,6,0,5,0,1
서울 중구,서울 중구 신당동(청구역사거리),4,8,0,6,1,1
서울 중구,서울 중구 광희동2가(광희동사거리),4,6,0,5,1,0
서울 중구,서울 중구 신당동(신당역교차로),4,6,0,5,1,0
서울 중구,서울 중구 을지로3가(을지로3가역 2호선),4,6,0,4,2,0
서울 중구,서울 중구 중림동(라면치레),4,4,0,4,0,0
서울 용산구,서울 용산구 한남동(중앙에너비스 한남지점 (ENERVIS HANNAM)),4,10,1,3,6,0
서울 용산구,서울 용산구 용산동2가(재정관리단앞교차로),4,5,0,4,1,0
서울 용산구,서울 용산구 이태원동(10.29 기억과 안전의 길),4,4,0,4,0,0
서울 용산구,서울 용산구 청파동3가(신광여자중학교),4,5,0,4,1,0
서울 용산구,서울 용산구 한강로2가(용산우체국교차로),4,7,0,4,3,0
서울 성동구,서울 성동구 용답동(신답역교차로),4,4,1,3,0,0
서울 성동구,서울 성동구 도선동(왕십리도선동상점가 고객센터),4,5,0,4,1,0
서울 광진구,서울 광진구 중곡동(군자역사거리),4,7,1,3,3,0
서울 동대문구,서울 동대문구 신설동(신설동역교차로),9,9,0,9,0,0
서울 동대문구,서울 동대문구 신설동(양가네분식),6,10,0,6,2,2
서울 동대문구,서울 동대문구 청량리동(떡전교사거리),6,9,0,6,2,1
서울 동대문구,서울 동대문구 용두동(동대문구청교차로),5,9,0,9,0,0
서울 동대문구,서울 동대문구 용두동(마장백화점약국),4,6,0,5,1,0
서울 동대문구,서울 동대문구 신설동(신설동역 2호선),4,6,0,4,1,1
서울 동대문구,서울 동대문구 제기동(경동시장교차로),4,5,0,4,1,0
서울 동대문구,서울 동대문구 제기동(청량리 청과물 도매시장),4,6,0,4,2,0
서울 동대문구,서울 동대문구 휘경동(삼육서울병원앞교차로),4,4,0,4,0,0
